\	$	)	(	id	/	*	-	+	~=	==	>=	<=	>	<	~	&	|	BE	BT	BF	T	F	E
0	0	0	s9	s8	0	0	0	0	0	0	0	0	0	0	s7	0	0	s6	s5	s4	s3	s2	s1
1	r5	r5	0	0	0	0	s24	s23	s22	s21	s20	s19	s18	s17	0	r5	r5	0	0	0	0	0	0
2	r19	r19	0	0	r19	r19	r19	r19	r19	r19	r19	r19	r19	r19	0	r19	r19	0	0	0	0	0	0
3	r16	r16	0	0	s16	s15	r16	r16	r16	r16	r16	r16	r16	r16	0	r16	r16	0	0	0	0	0	0
4	r4	r4	0	0	0	0	0	0	0	0	0	0	0	0	0	r4	r4	0	0	0	0	0	0
5	r2	r2	0	0	0	0	0	0	0	0	0	0	0	0	0	r2/s14	r2	0	0	0	0	0	0
6	a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	s13	0	0	0	0	0	0
7	0	0	s9	s8	0	0	0	0	0	0	0	0	0	0	s7	0	0	s12	s5	s4	s3	s2	s1
8	r20	r20	0	0	r20	r20	r20	r20	r20	r20	r20	r20	r20	r20	0	r20	r20	0	0	0	0	0	0
9	0	0	s9	s8	0	0	0	0	0	0	0	0	0	0	s7	0	0	s11	s5	s4	s3	s2	s10
10	r5	r5/s39	0	0	0	0	s24	s23	s22	s21	s20	s19	s18	s17	0	r5	r5	0	0	0	0	0	0
11	0	s38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	s13	0	0	0	0	0	0
12	r6	r6	0	0	0	0	0	0	0	0	0	0	0	0	0	r6	r6/s13	0	0	0	0	0	0
13	0	0	s9	s8	0	0	0	0	0	0	0	0	0	0	s7	0	0	0	s37	s4	s3	s2	s1
14	0	0	s9	s8	0	0	0	0	0	0	0	0	0	0	s7	0	0	0	0	s36	s3	s2	s1
15	0	0	s35	s8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	s34	0
16	0	0	s35	s8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	s33	0
17	0	0	s35	s8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	s3	s2	s32
18	0	0	s35	s8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	s3	s2	s31
19	0	0	s35	s8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	s3	s2	s30
20	0	0	s35	s8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	s3	s2	s29
21	0	0	s35	s8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	s3	s2	s28
22	0	0	s35	s8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	s3	s2	s27
23	0	0	s35	s8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	s26	s2	0
24	0	0	s35	s8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	s25	s2	0
25	r15	r15	0	0	s16	s15	r15	r15	r15	r15	r15	r15	r15	r15	0	r15	r15	0	0	0	0	0	0
26	r14	r14	0	0	s16	s15	r14	r14	r14	r14	r14	r14	r14	r14	0	r14	r14	0	0	0	0	0	0
27	r13	r13	0	0	0	0	s24	s23	0	0	0	0	0	0	0	r13	r13	0	0	0	0	0	0
28	r12	r12	0	0	0	0	s24	s23	0	0	0	0	0	0	0	r12	r12	0	0	0	0	0	0
29	r11	r11	0	0	0	0	s24	s23	0	0	0	0	0	0	0	r11	r11	0	0	0	0	0	0
30	r10	r10	0	0	0	0	s24	s23	0	0	0	0	0	0	0	r10	r10	0	0	0	0	0	0
31	r9	r9	0	0	0	0	s24	s23	0	0	0	0	0	0	0	r9	r9	0	0	0	0	0	0
32	r8	r8	0	0	0	0	s24	s23	0	0	0	0	0	0	0	r8	r8	0	0	0	0	0	0
33	r18	r18	0	0	r18	r18	r18	r18	r18	r18	r18	r18	r18	r18	0	r18	r18	0	0	0	0	0	0
34	r17	r17	0	0	r17	r17	r17	r17	r17	r17	r17	r17	r17	r17	0	r17	r17	0	0	0	0	0	0
35	0	0	s35	s8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	s3	s2	s40
36	r3	r3	0	0	0	0	0	0	0	0	0	0	0	0	0	r3	r3	0	0	0	0	0	0
37	r1	r1	0	0	0	0	0	0	0	0	0	0	0	0	0	r1/s14	r1	0	0	0	0	0	0
38	r7	r7	0	0	0	0	0	0	0	0	0	0	0	0	0	r7	r7	0	0	0	0	0	0
39	r21	r21	0	0	r21	r21	r21	r21	r21	r21	r21	r21	r21	r21	0	r21	r21	0	0	0	0	0	0
40	0	s39	0	0	0	0	s24	s23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
